Date,Ticker,Timeframe,Action,result,Reason,Confidence,stop_loss_price,target_price,Actual_High,Target_Diff,Target_Reach,Price,adx,prev_adx,ma_deviation,rs_rating,vol_ratio,expansion_rate,dist_to_res,days_to_earnings,margin_ratio,profit_rate
2023-10-04,1605.T,1d,BUY,WIN,ADX上昇&+DI優位。抵抗線まで近いがトレンド発生期待。,75,1902.4039522450212,2100,2072.4183260098607,-27.58167399013928,89.51100161747001,1837.0418701171875,40.87644960154081,39.799821328703,-9.377066318678251,0,1.32486053668706,0.9470267516874787,-15.642806817175561,999,1.0,3.666164695975415
2022-08-03,4911.T,1d,BUY,WIN,"ADX上昇, +DI優位. 抵抗線まで近い。ブレイクに期待。",65,5254.083873046875,5700,5438.443599892337,-261.55640010766274,42.6918279366209,5243.5966796875,26.67273526792016,23.433692965487783,-0.6785009502927264,0,0.872197965089897,1.0288740817377895,-3.510458243023489,999,1.0,1.8499999999999985
2025-06-10,8002.T,1d,BUY,WIN,ADX上昇、+DI優位。抵抗線付近。上抜け期待。,65,2806.9682094726563,3050,3457.927760865332,407.92776086533195,264.0672254319147,2801.365478515625,32.69651129614851,29.345271290969965,1.0088418284129874,0,0.8025848963529598,0.7861555249739248,-3.8761041172402178,999,1.0,1.8499999999999965
2023-09-11,7011.T,1d,BUY,LOSS,ADX上昇、+DI優位。抵抗線が近いが突破期待。,75,820,950,867.1475967776993,-82.85240322230072,16.321537541983975,850.9871826171875,40.405033037042266,37.681685967896485,9.008704891327103,0,1.6171143372576058,1.5880890878369165,-5.19325931918398,999,1.0,-3.641321896516382
2021-12-24,9432.T,1d,BUY,WIN,ADX上昇、+DI優勢。抵抗線まで近い。トレンド発生期待。,70,113.92326009064458,116,129.0797359993353,13.079735999335298,329.3660220142828,110.29743957519531,23.800450737454756,22.338076081340052,-0.7961700872134547,0,0.9386539413564466,0.9496045961314372,-5.523708961466558,999,1.0,3.3936557953719997
2024-04-25,9983.T,1d,BUY,LOSS,ADX上昇、+DI優位。抵抗線まで余地あり,70,39236.68573588767,47200,44638.58418141593,-2561.4158185840715,59.35953957939633,40897.375,26.290843826253134,24.605650005957013,-5.878405347531379,0,0.9563983426340622,0.9796672662365903,-13.530395445412063,999,1.0,-4.0606255636512785
2022-03-16,8002.T,1d,BUY,WIN,抵抗線ブレイクの可能性。ADX上昇。類似局面の勝率も高い。,70,1182.118921855936,1250,1290.346923828125,40.346923828125,142.15185902193792,1154.281982421875,24.060109236251158,22.14075164214984,8.753102473571772,0,1.1635432445932128,1.4127203023582657,0.07368284798818234,999,1.0,2.955811918490412
2022-02-04,6594.T,1d,BUY,WIN,"ADX↑, +DI> -DI。類似局面勝率高。抵抗線まで余裕あり。",75,4839.6423867187505,6600,5065.8259755432255,-1534.1740244567745,13.324362231365933,4829.982421875,31.42831728358024,31.12630737324844,-13.840777172564323,0,0.8759271297198308,0.9262879748928575,-27.49277616618746,999,1.0,1.591352453974085
2023-12-04,9107.T,1d,BUY,LOSS,ADX↑、過去類似局面の勝率も高い。抵抗線まで近い。,70,1576.2593150240061,1765,2350.726495228776,585.726495228776,629.024870801324,1654.2818603515625,33.61408119829154,33.3275641108019,9.659143371571721,0,1.0601912611913822,0.9617990456801041,-6.257510652535174,999,1.0,-4.716399738009295
2024-01-09,7974.T,1d,BUY,WIN,抵抗線突破、ADX上昇、+DI優位でトレンド発生の可能性大,75,7659.8654674665895,7750,8751.915469622905,1001.9154696229052,326.4120812584781,7307.4814453125,25.71131723019648,24.27107681511501,8.017172182565059,0,1.8693452008083538,2.3920327588730745,1.9337369210958868,999,1.0,4.16111814509041
2025-01-15,9983.T,1d,BUY,WIN,ADX↑、+DI > -DI。類似局面勝率高。抵抗線までの上昇余地。,75,47920.7400234375,54720,50852.497640625,-3867.502359375001,43.907864327002976,47825.08984375,38.94544910436211,44.70346190346726,-7.90697138855081,0,1.1626782973162122,2.537088500953242,-12.601700786956327,999,1.0,2.541045131661823
2022-10-04,6305.T,1d,BUY,LOSS,"ADX上昇, 類似局面勝率高。抵抗線まで近い。",75,2401.165773999189,2950,2898.051061858171,-51.948938141828876,87.91106126887665,2520.277099609375,20.646660802638305,18.25331136692902,0.8187757480825564,0,1.0591762705965815,1.351470893309719,-6.783401404268553,999,1.0,-4.726120220218945
2024-07-17,6861.T,1d,BUY,LOSS,ADX上昇トレンド。抵抗線まであと少し。過去局面勝率〇,70,70000,76598,72114.87322496905,-4483.126775030949,-22.76364140553477,72946.1640625,27.44668320266121,27.55529263945524,3.1030126447980866,0,0.8423059555466359,1.0841137003448311,-4.767445198679757,999,1.0,-4.038819724606406
2021-07-28,6963.T,1d,BUY,WIN,ADX上昇&Volume増加。抵抗線まであと少し。類似局面勝率62%,65,2303.6745688476562,2532,2656.609596405162,124.60959640516194,153.4980590087095,2299.076416015625,34.97393780425474,35.94106855925927,-0.8354766078903952,0,1.2359026490462237,1.272542145973362,-9.20463729340725,999,1.0,1.8499999999999934
2021-08-02,7267.T,1d,BUY,LOSS,ADX上昇&抵抗線接近。類似局面勝率高。,75,990,1030,1030.3698952639104,0.3698952639103936,101.47191244927743,1004.8697509765625,30.9628672942458,29.67577763541555,1.7818038955820237,0,1.0149094523503601,1.0190045369220067,-0.9118638748971443,999,1.0,-1.4797689911664305
2021-08-10,8031.T,1d,BUY,LOSS,ADX上昇&+DI優位。抵抗線まで近い。過去類似局面勝率高,75,1090,1250,1201.3409345165358,-48.659065483464246,61.080843101919314,1124.9739990234375,26.746482942905867,26.62019911098986,2.091010470060617,0,1.0418479591889906,1.8529942165498081,-4.787910074666195,999,1.0,-4.397696544334899
2023-08-18,8698.T,1d,BUY,WIN,ADX強く、+DI優位。抵抗線まで-13.5%。ブレイク期待。,75,513.8171119353229,520,662.5709736689814,142.57097366898142,302.9719003278553,449.7582702636719,46.32788197294125,46.1993578074822,-6.172752862209741,0,1.4899827622252113,1.236197602917392,-13.47149872632788,999,1.0,8.873890886182782
2024-07-09,7269.T,1d,BUY,WIN,"ADX上昇, +DI優位, ボラ拡大。抵抗線まで近いが、突破期待。",75,1788.3122924890713,1980,1908.6295014208633,-71.37049857913667,64.14693015829786,1780.9361572265625,27.43262847520706,24.302862915826296,0.41562518258257963,0,2.073086493857891,0.9625704732546221,-5.9274343463144294,999,1.0,1.7876913812962778
2022-01-20,2413.T,1d,BUY,LOSS,ADX上昇。+DI優位。抵抗線まで距離あり。,75,4200,5500,4720.9596656436015,-779.0403343563985,24.120265953693167,4473.322265625,51.22476669990425,46.381077735337094,-13.925590807674727,0,1.5535981306819537,1.6979168091553296,-38.03706089817665,999,1.0,-6.1100508614219455
2021-12-16,8766.T,1d,BUY,LOSS,抵抗線突破。上昇トレンド期待。ADXも水準近い,65,1820,1990,2096.2054165192258,106.20541651922576,210.3438496701862,1893.75048828125,24.807049799110153,25.367505833117043,8.073325871285997,0,0.8599620451728262,1.8160947305015664,0.5568344960962045,999,1.0,-3.9993769769400442
